elapsed time,x-position,y-position,MAC address
5.689313,-0.3598611,-14.64436,B3:B4:8B:76:66:EB
7.692935,-4.900293,-9.476762,B3:B4:8B:76:66:EB
8.17718,-8.738489,-9.327021,21:08:3B:09:18:BE
9.697298,-9.366379,-9.582588,B3:B4:8B:76:66:EB
10.18185,-14.26123,-5.028913,21:08:3B:09:18:BE
11.70026,-5.248195,-5.209153,B3:B4:8B:76:66:EB
12.18457,-15.37377,-0.4228962,21:08:3B:09:18:BE
13.7057,-0.3877274,-0.145326,B3:B4:8B:76:66:EB
14.18989,-9.512717,-4.123364,21:08:3B:09:18:BE
15.7099,4.469774,4.915407,B3:B4:8B:76:66:EB
16.1951,-3.595007,-7.896487,21:08:3B:09:18:BE
17.71592,9.33165,9.980702,B3:B4:8B:76:66:EB
18.19988,2.321432,-11.6688,21:08:3B:09:18:BE
19.71842,10.21483,10.9802,B3:B4:8B:76:66:EB
20.20254,6.445175,-9.291334,21:08:3B:09:18:BE
21.72201,5.252284,6.025494,B3:B4:8B:76:66:EB
22.20607,10.00894,-3.252043,21:08:3B:09:18:BE
23.72499,0.2912337,1.072278,B3:B4:8B:76:66:EB
24.20981,11.85358,-0.8968675,21:08:3B:09:18:BE
25.73041,-4.675841,-3.886954,B3:B4:8B:76:66:EB
26.21505,9.69431,-7.57477,21:08:3B:09:18:BE
27.73382,-9.637938,-8.84121,B3:B4:8B:76:66:EB
28.21786,7.537651,-14.2446,21:08:3B:09:18:BE
29.7368,-14.49501,-13.69061,B3:B4:8B:76:66:EB
30.2217,4.701978,-15.89653,21:08:3B:09:18:BE
31.74035,-13.98387,-8.81066,B3:B4:8B:76:66:EB
32.22434,0.3301825,-10.41774,21:08:3B:09:18:BE
33.74364,-12.50945,-1.955904,B3:B4:8B:76:66:EB
34.22897,-4.045929,-4.933538,21:08:3B:09:18:BE
35.74974,-10.98417,2.78885,B3:B4:8B:76:66:EB
36.23369,-7.803675,0.5282195,21:08:3B:09:18:BE
37.75509,-6.94099,-1.723553,B3:B4:8B:76:66:EB
38.23904,-11.55966,4.333369,21:08:3B:09:18:BE
39.75924,-1.271298,-5.787196,B3:B4:8B:76:66:EB
40.24555,-9.156043,-1.895823,21:08:3B:09:18:BE
41.76705,4.605201,-9.240518,B3:B4:8B:76:66:EB
42.25405,-6.553447,-8.426043,21:08:3B:09:18:BE
43.77676,10.70342,-12.74609,B3:B4:8B:76:66:EB
44.264,-3.948957,-14.961,21:08:3B:09:18:BE
45.78537,16.79828,-16.24972,B3:B4:8B:76:66:EB
46.27161,-6.677479,-16.28473,21:08:3B:09:18:BE
47.79481,13.93237,-17.10096,B3:B4:8B:76:66:EB
48.28206,-13.29035,-14.20727,21:08:3B:09:18:BE
49.80293,6.906844,-16.89884,B3:B4:8B:76:66:EB
50.29134,-9.389836,-11.10477,21:08:3B:09:18:BE
51.81929,0.476645,-16.49748,B3:B4:8B:76:66:EB
52.2915,-3.311062,-7.632527,21:08:3B:09:18:BE
53.82982,-4.828647,-13.77709,B3:B4:8B:76:66:EB
54.30153,2.257491,-4.016713,21:08:3B:09:18:BE
55.8415,-10.78574,-11.16303,B3:B4:8B:76:66:EB
56.31242,5.636565,2.157148,21:08:3B:09:18:BE
57.8512,-12.06484,-4.270885,B3:B4:8B:76:66:EB
58.32306,9.01523,8.330263,21:08:3B:09:18:BE
59.86558,-13.32802,2.66537,B3:B4:8B:76:66:EB
60.33548,12.39689,14.50885,21:08:3B:09:18:BE
61.87386,-14.58738,9.580611,B3:B4:8B:76:66:EB
62.34953,10.52241,16.56081,21:08:3B:09:18:BE
